r,r_dB,eta,M,gamma,sigma,var_exact,rate_per_mode,shots_resolve,fit_slope,fit_R2
0.5,4.343,1.0,16,2.718281828459045,1.0,1.3954704000107865e-11,1.5622002500464998,1.2559233600097076e-08,-1.5570099975115324,0.999966219270897
0.5,4.343,1.0,32,2.718281828459045,1.0,1.9473394267111938e-22,1.5622002500464998,1.752605484040074e-19,-1.5570099975115324,0.999966219270897
0.5,4.343,1.0,50,2.718281828459045,1.0,1.1946827386588749e-34,1.5622002500464998,1.075214464792987e-31,-1.5570099975115324,0.999966219270897
0.5,4.343,0.9,1,2.0877238501566655,1.0,0.1307376905302204,1.4368329048369846,117.66392147719836,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,2,2.0877238501566655,1.0,0.045054947289634086,1.4368329048369846,40.54945256067067,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,4,2.0877238501566655,1.0,0.0030604911944393585,1.4368329048369846,2.7544420749954224,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,8,2.0877238501566655,1.0,1.0167192983056262e-05,1.4368329048369846,0.009150473684750634,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,16,2.0877238501566655,1.0,1.0371967393810749e-10,1.4368329048369846,9.334770654429673e-08,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,32,2.0877238501566655,1.0,1.0757831468992699e-20,1.4368329048369846,9.682048322093426e-18,-1.430574560440155,0.9999466665551006
0.5,4.343,0.9,50,2.0877238501566655,1.0,6.303327912204119e-32,1.4368329048369846,5.672995120983706e-29,-1.430574560440155,0.9999466665551006
0.5,4.343,0.7,1,1.255570227857047,1.0,0.13485242910601822,1.200969082046926,121.36718619541638,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,2,1.255570227857047,1.0,0.06296968074660518,1.200969082046926,56.672712671944645,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,4,1.255570227857047,1.0,0.007437658415469196,1.200969082046926,6.693892573922275,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,8,1.255570227857047,1.0,6.662771017330562e-05,1.200969082046926,0.05996493915597505,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,16,1.255570227857047,1.0,4.516270573589221e-09,1.200969082046926,4.064643516230297e-06,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,32,1.255570227857047,1.0,2.0399717300198297e-17,1.200969082046926,1.8359745570178463e-14,-1.191883669518291,0.9998668512205968
0.5,4.343,0.7,50,1.255570227857047,1.0,8.342337129706136e-27,1.200969082046926,7.508103416735522e-24,-1.191883669518291,0.9998668512205968
0.5,4.343,0.5,1,0.7310585786300049,1.0,0.127296294192135,0.9620125347384946,114.56666477292148,-0.9483093426296291,0.999630463462085
0.5,4.343,0.5,2,0.7310585786300049,1.0,0.08108135639243094,0.9620125347384946,72.97322075318783,-0.9483093426296291,0.999630463462085
0.5,4.343,0.5,4,0.7310585786300049,1.0,0.01710449592750208,0.9620125347384946,15.394046334751868,-0.9483093426296291,0.999630463462085
